Time,Duration
"Mar 11, 2021, 5:26:00 PM",0
"Mar 11, 2021, 5:27:00 PM",0
"Mar 11, 2021, 5:28:00 PM",0
"Mar 11, 2021, 5:35:00 PM",0
"Mar 11, 2021, 5:36:00 PM",184
"Mar 11, 2021, 5:37:00 PM",0
"Mar 11, 2021, 5:39:00 PM",0
"Mar 11, 2021, 5:47:00 PM",69
"Mar 11, 2021, 5:48:00 PM",23
"Mar 11, 2021, 5:49:00 PM",0
"Mar 11, 2021, 5:55:00 PM",0
"Mar 11, 2021, 6:02:00 PM",17
"Mar 11, 2021, 6:48:00 PM",1
"Mar 11, 2021, 6:56:00 PM",101
"Mar 11, 2021, 6:57:00 PM",0
"Mar 11, 2021, 7:07:00 PM",22
"Mar 11, 2021, 7:08:00 PM",0
"Mar 11, 2021, 7:12:00 PM",62
"Mar 11, 2021, 7:13:00 PM",0
"Mar 11, 2021, 7:22:00 PM","1,683"
"Mar 11, 2021, 7:23:00 PM",0
"Mar 11, 2021, 7:24:00 PM",0
"Mar 11, 2021, 7:47:00 PM",175
"Mar 11, 2021, 7:48:00 PM",244
"Mar 11, 2021, 7:49:00 PM",0
"Mar 11, 2021, 7:50:00 PM",0
"Mar 11, 2021, 7:51:00 PM",31
"Mar 11, 2021, 7:52:00 PM",0
"Mar 11, 2021, 7:53:00 PM",98
"Mar 11, 2021, 7:54:00 PM",0
"Mar 11, 2021, 7:59:00 PM",17
"Mar 11, 2021, 8:00:00 PM",0
"Mar 11, 2021, 8:40:00 PM",10
"Mar 11, 2021, 8:41:00 PM",0
"Mar 11, 2021, 8:53:00 PM",301
"Mar 11, 2021, 8:54:00 PM",0
"Mar 11, 2021, 8:56:00 PM",0
"Mar 11, 2021, 8:57:00 PM",0
"Mar 11, 2021, 8:58:00 PM",149
"Mar 11, 2021, 9:00:00 PM",0
"Mar 11, 2021, 9:07:00 PM",97
"Mar 11, 2021, 9:08:00 PM",0
"Mar 11, 2021, 9:09:00 PM",0
"Mar 11, 2021, 9:40:00 PM",1
"Mar 11, 2021, 9:43:00 PM",72
"Mar 11, 2021, 9:44:00 PM",0
"Mar 11, 2021, 9:46:00 PM","1,792"
"Mar 11, 2021, 9:47:00 PM",0
"Mar 11, 2021, 9:48:00 PM",0
"Mar 11, 2021, 9:49:00 PM",0
"Mar 11, 2021, 9:50:00 PM",0
"Mar 11, 2021, 9:51:00 PM",0
"Mar 11, 2021, 9:56:00 PM",248
"Mar 11, 2021, 9:57:00 PM",0
"Mar 11, 2021, 10:00:00 PM",0
"Mar 11, 2021, 10:07:00 PM",0
"Mar 11, 2021, 10:08:00 PM",0
"Mar 11, 2021, 10:12:00 PM",78
"Mar 11, 2021, 10:13:00 PM",0
"Mar 11, 2021, 10:16:00 PM",0
"Mar 11, 2021, 10:34:00 PM",442
"Mar 11, 2021, 10:35:00 PM",0
"Mar 11, 2021, 10:36:00 PM",0
"Mar 11, 2021, 10:37:00 PM",0
